10240,[[2184 2304]
 [1892 3860]],0.647738353994747,0.6263159240455625,0.671091256587195
10240,[[1642 2846]
 [1075 4677]],0.7045110389911132,0.6216799101527378,0.8132227049627943
10240,[[2091 2397]
 [1637 4115]],0.6708972667301158,0.6319043556545454,0.7154716715285602
10240,[[ 788 3700]
 [ 386 5366]],0.7241283596108545,0.5918519164593594,0.9329608956532773
10240,[[2255 2233]
 [2219 3533]],0.6131453949751947,0.61259293288306,0.6141145646113564
10240,[[2052 2436]
 [1521 4231]],0.6812866951914593,0.634743672406725,0.7356550054646573
